complex_name,protien_count,expected,pValue,fold_enrichment,fdr,protien_list
"eukaryotic translation initiation factor 3 complex, eIF3e",1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.48121565882069095,['P23116']
acetolactate synthase complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4804293587245787,['Q8BU33']
other organism part,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.47964562404476696,['P01029']
PAS complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4788644422466485,['Q80WQ2']
integral component of autophagosome membrane,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4780858008771417,['P17047']
intrinsic component of autophagosome membrane,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4773096875640295,['P17047']
translation initiation ternary complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.47653609001530334,['Q6ZWX6']
endopeptidase Clp complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15363793842616347,"['Q9JHS4', 'O88696']"
succinate-CoA ligase complex (ADP-forming),1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4757649960185148,['Q9WUM5']
Tapasin-ERp57 complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15325858549177787,"['P27773', 'Q9R233']"
mitochondrial oxoglutarate dehydrogenase complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4749963934401327,['Q9CQX8']
glycerol-3-phosphate dehydrogenase complex,3,0.24344228758467062,0.007103358977677513,12.323249299719889,0.04708578345138026,"['Q3ULJ0', 'P13707', 'Q64521']"
chaperone-mediated autophagy translocation complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4742302702249067,['P17047']
phenylalanine-tRNA ligase complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.1528811012910592,"['Q9WUA2', 'Q8C0C7']"
VCP-NSFL1C complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15250547204955783,"['Q01853', 'Q9CZ44']"
myosin V complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.47346661439523696,['Q9D0M5']
presynaptic actin cytoskeleton,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4727054140505501,['P63260']
catalase complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.47194665736668084,['P24270']
cargo receptor complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4711903325952599,['Q91ZX7']
low-density lipoprotein receptor complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4704364280631074,['Q91ZX7']
"proton-transporting ATP synthase, catalytic core",1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4696849321716328,['Q03265']
"proton-transporting ATP synthase, stator stalk",2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15213168412786773,"['Q9DCX2', 'Q9DB20']"
electron transfer flavoprotein complex,3,0.24344228758467062,0.007103358977677513,12.323249299719889,0.046932907531083576,"['Q921G7', 'Q99LC5', 'Q9DCW4']"
succinate-CoA ligase complex (GDP-forming),2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15175972401997564,"['Q9Z2I8', 'Q9WUM5']"
macropinocytic cup,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4689358333962395,['Q9D8U8']
glucosidase II complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.15138957835163425,"['O08795', 'Q8BHN3']"
hexameric IgM immunoglobulin complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4681891202857359,['P01872']
eukaryotic 80S initiation complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4674447814617522,['Q9JJI8']
eukaryotic 48S preinitiation complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.46670280561816213,['Q6ZWX6']
"retromer, cargo-selective complex",3,0.24344228758467062,0.007103358977677513,12.323249299719889,0.046781021098944144,"['Q9QZ88', 'Q9EQH3', 'P40336']"
"retromer, tubulation complex",2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.1510212338787592,"['Q9CWK8', 'Q9WV80']"
mitochondrial electron transfer flavoprotein complex,3,0.24344228758467062,0.007103358977677513,12.323249299719889,0.04663011457927013,"['Q921G7', 'Q99LC5', 'Q9DCW4']"
symbiont cell surface,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4659631815205105,['P01029']
translation initiation complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.46522589800544645,['Q9JJI8']
mature chylomicron,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4644909439801614,['E9Q414']
septin filament array,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4637583084218331,['O55131']
glutamate-cysteine ligase complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.1506546774858496,"['P97494', 'O09172']"
U11/U12 snRNP,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.46302798037707427,['Q99NB9']
aminoacyl-tRNA synthetase multienzyme complex,12,0.9737691503386825,3.5557104186794725E-8,12.323249299719889,8.1301918000143e-07,"['Q68FL6', 'Q8CGC7', 'Q8BML9', 'Q8BMJ2', 'Q8R010', 'Q9D1M4', 'P47962', 'P31230', 'Q99MN1', 'Q8BU30', 'Q922B2', 'Q9D0I9']"
UFD1-NPL4 complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.1502898961844311,"['P60670', 'P70362']"
4-aminobutyrate transaminase complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.46229994896138704,['P61922']
multi-eIF complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.14992687711152183,"['P23116', 'Q6ZWX6']"
UBC13-MMS2 complex,2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.14956560752812056,"['P61089', 'Q9D2M8']"
actin rod,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4615742033586219,['P18760']
mitochondrial endopeptidase Clp complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.46085073282044225,['Q9JHS4']
extrinsic component of lysosome membrane,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.46012952666579365,['P51150']
"3-methylcrotonyl-CoA carboxylase complex, mitochondrial",2,0.16229485838978042,0.030501094409911566,12.323249299719889,0.14920607481771644,"['Q99MR8', 'Q3ULD5']"
ferritin complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.45941057428037835,['P29391']
apolipoprotein B mRNA editing enzyme complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4586938651161344,['Q5YD48']
inactive sex chromosome,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.45797938869071986,['Q8VEK3']
"multivesicular body, internal vesicle lumen",1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4572671345870018,['Q01279']
"mitochondrial proton-transporting ATP synthase, catalytic core",1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.45655709245254994,['Q03265']
cofilin-actin rod,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.4558492519991351,['P18760']
pyruvate kinase complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.45514360300223244,['P52480']
bub1-bub3 complex,1,0.08114742919489021,0.14448293245181432,12.323249299719889,0.45444013530052885,['Q9WVA3']
GAIT complex,4,0.32458971677956083,0.0017314224021974757,12.323249299719889,0.014440346674065012,"['Q8CGC7', 'P19253', 'P16858', 'Q7TMK9']"
Arp2/3 protein complex,9,0.7303268627540119,1.9317601923322058E-6,12.323249299719887,3.418375644692208e-05,"['Q9D898', 'P61161', 'Q9WV32', 'Q9JM76', 'Q9CVB6', 'Q9CPW4', 'Q9R0Q6', 'P59999', 'Q99JY9']"
"proteasome core complex, alpha-subunit complex",8,0.6491794335591217,4.981431406443624E-5,10.782843137254902,0.0006582605787086217,"['O70435', 'Q9R1P0', 'Q9QUM9', 'Q9Z2U1', 'P49722', 'Q9R1P4', 'Q9Z2U0']"
eukaryotic translation initiation factor 3 complex,16,1.2983588671182433,7.904683517382974E-9,10.782843137254902,1.9617110924237018e-07,"['Q99JX4', 'Q91WK2', 'Q3UGC7', 'Q9QZD9', 'O70194', 'Q9DCH4', 'Q9Z1D1', 'Q8R1B4', 'Q62167', 'Q8JZQ9', 'P23116', 'Q9DBZ5', 'Q8QZY1', 'P60229']"
cytosolic proteasome complex,6,0.48688457516934125,7.452611536637289E-4,10.26937441643324,0.0069251435968296264,"['P54775', 'Q9JHR7', 'P62196', 'O35593', 'P62334']"
mitochondrial alpha-ketoglutarate dehydrogenase complex,6,0.48688457516934125,7.452611536637289E-4,10.26937441643324,0.006893665671389492,"['P53395', 'O08749', 'Q6P3A8', 'P50136', 'Q9CQX8']"
"proteasome regulatory particle, base subcomplex",12,0.9737691503386825,1.5463697341259E-6,10.26937441643324,2.860784008132915e-05,"['P54775', 'O35226', 'Q3TXS7', 'P46471', 'P62196', 'Q8VDM4', 'O88685', 'P62192', 'Q8BJY1', 'P62334']"
"proton-transporting ATP synthase complex, catalytic core F(1)",6,0.48688457516934125,7.452611536637289E-4,10.26937441643324,0.006862472614052888,"['Q9D3D9', 'Q03265', 'P56480', 'Q91VR2', 'Q9DB20']"
eukaryotic translation initiation factor 2 complex,6,0.48688457516934125,7.452611536637289E-4,10.26937441643324,0.006831560575250847,"['Q8BJW6', 'Q9Z0N1', 'Q9Z0N2', 'Q99L45', 'Q6ZWX6']"
mitochondrial tricarboxylic acid cycle enzyme complex,11,0.8926217211437922,5.811907351614606E-6,10.082658517952638,9.312780677587184e-05,"['Q9D6R2', 'P53395', 'O08749', 'Q6P3A8', 'Q9Z2I8', 'Q9WUM5', 'P50136', 'Q9CQX8', 'P70404']"
"mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)",5,0.40573714597445104,0.002931811620588513,9.858599439775912,0.022514100558104246,"['Q9D3D9', 'Q03265', 'P56480', 'Q91VR2']"
chaperonin-containing T-complex,10,0.8114742919489021,2.1903280166510214E-5,9.858599439775912,0.00030529572012909787,"['P80315', 'P80314', 'P80313', 'P42932', 'P11983', 'P80318', 'P80317', 'P80316']"
SAM complex,5,0.40573714597445104,0.002931811620588513,9.858599439775912,0.022429461082321897,"['Q8BGH2', 'Q5U458', 'O88441', 'P47802']"
proteasome core complex,19,1.541801154702914,6.025658912262913E-9,9.728881026094648,1.513853813142596e-07,"['O70435', 'P70195', 'P99026', 'Q9R1P0', 'Q9R1P1', 'P28063', 'Q9R1P4', 'Q9R1P3', 'Q60692', 'O55234', 'Q9QUM9', 'Q9Z2U1', 'P49722', 'O09061', 'Q9Z2U0']"
proteasome regulatory particle,23,1.866390871482475,1.994899786430896E-10,9.644282060650346,5.7177761484322166e-09,"['Q9D8W5', 'P54775', 'Q3TXS7', 'Q9CX56', 'P46471', 'Q8BG32', 'O35593', 'Q8VDM4', 'P62192', 'Q8BJY1', 'Q9WVJ2', 'P14685', 'Q99JI4', 'O35226', 'P62196', 'O88685', 'P26516', 'P62334']"
tricarboxylic acid cycle enzyme complex,17,1.3795062963131335,8.179284015672852E-8,9.423661229197561,1.7897680614940058e-06,"['Q60597', 'Q9D6R2', 'P53395', 'O08749', 'Q6P3A8', 'Q9Z2I8', 'Q9WUM5', 'P50136', 'Q9CQX8', 'P70404', 'P97807', 'Q9Z2I9', 'Q9D2G2']"
proteasome accessory complex,25,2.0286857298722554,8.897801461126233E-11,9.365669467787114,2.5867179961988405e-09,"['Q9D8W5', 'P54775', 'Q3TXS7', 'Q9CX56', 'P46471', 'Q8BG32', 'O35593', 'Q8VDM4', 'P62192', 'Q8BJY1', 'Q9WVJ2', 'P14685', 'Q99JI4', 'O35226', 'P62196', 'O88685', 'P26516', 'P62334', 'P97371']"
cytosolic small ribosomal subunit,45,3.6516343137700593,3.8745236059136405E-18,9.310899470899471,1.67758628468814e-16,"['P97461', 'P62082', 'P62281', 'Q62167', 'P63323', 'P62855', 'P62858', 'P25444', 'P63325', 'P62852', 'P62754', 'P97351', 'P62908', 'Q8BJW6', 'Q9CZX8', 'P62849', 'Q6ZWY3', 'P62270', 'P14206', 'Q9CQR2', 'P63276', 'P62242', 'P62264', 'Q9DB27', 'Q6ZWN5', 'P14131', 'P62267', 'P62245', 'P01942', 'P62702', 'P60867', 'P62983', 'P62301', 'P62843']"
commitment complex,4,0.32458971677956083,0.011740560055296065,9.242436974789916,0.07306434162852445,"['P62320', 'P62315', 'P26369']"
supraspliceosomal complex,4,0.32458971677956083,0.011740560055296065,9.242436974789916,0.07284158448941308,"['Q9EPU0', 'Q91VM5', 'Q9WV02']"
fumarate reductase complex,4,0.32458971677956083,0.011740560055296065,9.242436974789916,0.07262018149704405,"['Q9CQA3', 'Q9CZB0', 'Q8K2B3']"
succinate dehydrogenase complex,4,0.32458971677956083,0.011740560055296065,9.242436974789916,0.0724001203409924,"['Q9CQA3', 'Q9CZB0', 'Q8K2B3']"
respiratory chain complex II,4,0.32458971677956083,0.011740560055296065,9.242436974789916,0.07218138885959967,"['Q9CQA3', 'Q9CZB0', 'Q8K2B3']"
succinate dehydrogenase complex (ubiquinone),4,0.32458971677956083,0.011740560055296065,9.242436974789916,0.07196397503773341,"['Q9CQA3', 'Q9CZB0', 'Q8K2B3']"
endoplasmic reticulum chaperone complex,12,0.9737691503386825,9.492490292931464E-6,9.242436974789916,0.00014415834138892188,"['Q63886', 'Q9JKR6', 'Q99KV1', 'P20029', 'P24369', 'P09103', 'P08113', 'P08003', 'Q922R8']"
"mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)",4,0.32458971677956083,0.011740560055296065,9.242436974789916,0.07174786700458706,"['Q9CQA3', 'Q9CZB0', 'Q8K2B3']"
"proteasome core complex, beta-subunit complex",11,0.8926217211437922,3.5341905732477536E-5,8.962363127069011,0.0004826897863462536,"['P70195', 'P99026', 'O55234', 'Q9R1P1', 'P28063', 'Q9R1P3', 'Q60692', 'O09061']"
mitochondrial pyruvate dehydrogenase complex,7,0.5680320043642315,0.0011988104106305617,8.802320928371348,0.01029358306174343,"['Q8BKZ9', 'O08749', 'P35486', 'Q9D051', 'Q8BMF4']"
dihydrolipoyl dehydrogenase complex,10,0.8114742919489021,1.3166801199384728E-4,8.626274509803922,0.001472222002238897,"['Q60597', 'P53395', 'O08749', 'Q6P3A8', 'Q9D2G2', 'P50136', 'Q9CQX8']"
intercellular canaliculus,10,0.8114742919489021,1.3166801199384728E-4,8.626274509803922,0.001464177073264914,"['Q9JMD3', 'Q8VI47', 'P21440', 'Q9QY30', 'P39447', 'P28843', 'Q80WJ7']"
zona pellucida receptor complex,13,1.0549165795335727,1.499365068025243E-5,8.531480284421463,0.0002133711827574384,"['P80315', 'P80314', 'P80313', 'P42932', 'P17879', 'P11983', 'P80318', 'P80317', 'P80316']"
translation release factor complex,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.2171005731485725,"['Q8R050', 'Q8BWY3']"
concave side of sperm head,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.21662237805353157,"['Q9CVB6', 'Q99JY9']"
nuclear proteasome complex,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.21614628491495239,"['Q9D8W5', 'P62196']"
ciliary pocket membrane,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.21567227990417398,"['Q9WVK4', 'Q9QXY6']"
ciliary pocket,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.21520034931357404,"['Q9WVK4', 'Q9QXY6']"
lamin filament,6,0.48688457516934125,0.0045975012486414255,8.215499533146593,0.03294336282037078,"['P21619', 'O55135', 'P48678', 'P14733']"
mitochondrial isocitrate dehydrogenase complex (NAD+),3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.21473047955524746,"['Q9D6R2', 'P70404']"
1-alkyl-2-acetylglycerophosphocholine esterase complex,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.21426265715970227,"['Q61206', 'P63005']"
methionine adenosyltransferase complex,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.2137968687745725,"['Q99LB6', 'Q91X83']"
fibrinogen complex,6,0.48688457516934125,0.0045975012486414255,8.215499533146593,0.03282777207363264,"['Q8VCM7', 'E9PV24', 'P11276', 'Q8K0E8']"
tubulin complex,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.2133331011633478,"['P99024', 'P68372']"
respiratory chain complex III,12,0.9737691503386825,5.502857131432141E-5,8.215499533146593,0.0007224718879009295,"['Q9D0M3', 'Q9CQ69', 'Q9CR68', 'Q9D855', 'Q9CZ13', 'Q8R1I1', 'Q9DB77', 'P00397']"
endosome to plasma membrane transport vesicle,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.2128713412041198,"['P35279', 'Q7M6Y3']"
tubulobulbar complex,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.21241157588834414,"['Q9WV32', 'Q99JY9']"
oxoglutarate dehydrogenase complex,6,0.48688457516934125,0.0045975012486414255,8.215499533146593,0.03271298965379476,"['Q60597', 'O08749', 'Q9D2G2', 'Q9CQX8']"
isocitrate dehydrogenase complex (NAD+),3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.21195379231961928,"['Q9D6R2', 'P70404']"
eukaryotic translation elongation factor 1 complex,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.2114979777124803,"['O70251', 'P57776']"
myosin II filament,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.21104411939120887,"['Q8VDD5', 'Q61879']"
discoidal high-density lipoprotein particle,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.21059220478865812,"['Q00623', 'P08226']"
CRD-mediated mRNA stability complex,6,0.48688457516934125,0.0045975012486414255,8.215499533146593,0.032599007111447045,"['P62960', 'O70133', 'Q8VEK3', 'Q7TMK9']"
mitochondrion-derived vesicle,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.21014222144509262,"['Q9EQH3', 'Q8K1M6']"
TAP complex,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.20969415700704336,"['P27773', 'P21958']"
muscle cell projection membrane,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.20924799922617732,"['Q9CVB6', 'Q9R0Q6']"
muscle cell projection,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.2088037359581812,"['Q9CVB6', 'Q9R0Q6']"
signal recognition particle receptor complex,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.20836135516165963,"['Q9DBG7', 'P47758']"
mitochondrial respiratory chain complex III,12,0.9737691503386825,5.502857131432141E-5,8.215499533146593,0.0007178406578502825,"['Q9D0M3', 'Q9CQ69', 'Q9CR68', 'Q9D855', 'Q9CZ13', 'Q8R1I1', 'Q9DB77', 'P00397']"
endocytic vesicle lumen,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.20792084489704724,"['P09528', 'P29391']"
peripheral region of growth cone,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.20748219332553447,"['Q9JM76', 'Q9CVB6']"
Schwann cell microvillus,3,0.24344228758467062,0.04832754773282719,8.215499533146593,0.20704538870800704,"['P26040', 'P45376']"
"proteasome regulatory particle, lid subcomplex",9,0.7303268627540119,4.907066824222016E-4,8.215499533146591,0.004824097095310049,"['Q9D8W5', 'Q9CX56', 'Q8BG32', 'O35593', 'Q9WVJ2', 'P14685']"
cytosolic ribosome,108,8.763922353048143,1.2817149864279086E-33,8.101395372964001,1.0433159989523177e-31,"['P62918', 'P97461', 'Q9CXW4', 'P35979', 'P62717', 'P19253', 'P62082', 'P62281', 'P12970', 'P14115', 'Q62167', 'P62751', 'P63323', 'P35980', 'O09167', 'P62911', 'P47955', 'P47911', 'P25444', 'P63325', 'P62830', 'P62754', 'P97351', 'Q9CR57', 'P62849', 'Q6ZWY3', 'Q9JJI8', 'P14206', 'Q9CPR4', 'P62242', 'Q9DB27', 'P14131', 'P62245', 'P84099', 'P61358', 'P01942', 'P62889', 'P60867', 'P61514', 'P62843', 'Q9CZM2', 'P53026', 'Q6ZWV3', 'P99027', 'P67984', 'P62855', 'P62858', 'P62852', 'P62908', 'Q8BJW6', 'P51410', 'Q9CZX8', 'P14869', 'P62270', 'P14148', 'Q99N96', 'Q9CQR2', 'P63276', 'P62264', 'Q6ZWN5', 'P62267', 'Q9D8E6', 'P47962', 'Q6ZWV7', 'P62702', 'P47963', 'P62900', 'Q8BP67', 'P27659', 'P62983', 'P62301']"
proteasome complex,64,5.193435468472973,2.046980349194301E-20,8.087132352941177,1.1901728601744008e-18,"['Q9D8W5', 'P54775', 'O70435', 'P99026', 'P46471', 'Q9R1P0', 'Q8BG32', 'O35593', 'Q8VDM4', 'Q9R1P1', 'Q9WUP7', 'P28063', 'Q9R1P4', 'Q9R1P3', 'Q9WVJ2', 'Q6PDI5', 'O35226', 'Q5SSW2', 'Q9JHR7', 'P62196', 'O55234', 'Q9Z2U1', 'P26516', 'P62334', 'O09061', 'Q9Z2U0', 'P97371', 'Q3TXS7', 'P70195', 'Q9CX56', 'Q9JMA1', 'P54728', 'P62192', 'Q8BJY1', 'Q60692', 'P14685', 'Q01853', 'Q99JI4', 'Q9QUM9', 'P49722', 'O88685', 'Q8CDN6']"
polysomal ribosome,34,2.759012592626267,2.833853309330091E-11,7.973867193936399,8.480722771304022e-10,"['P62918', 'P53026', 'Q9CXW4', 'O70133', 'P62717', 'Q91WK2', 'Q9JJI8', 'P12970', 'Q9CQR2', 'P62267', 'P58252', 'P35980', 'P84099', 'P62855', 'P62911', 'P62889', 'P62900', 'Q8BP67', 'P62858', 'P47911', 'Q8K1R3', 'Q6P542']"
pyruvate dehydrogenase complex,8,0.6491794335591217,0.0018281887127327304,7.702030812324931,0.015185159307800435,"['Q8BKZ9', 'O08749', 'P35486', 'Q9D051', 'Q8BMF4']"
cytosolic large ribosomal subunit,61,4.949993180888303,4.80310084356651E-18,7.676778252284521,1.9947571870730302e-16,"['P62918', 'P53026', 'Q9CXW4', 'P35979', 'Q6ZWV3', 'P99027', 'P62717', 'P19253', 'P12970', 'P14115', 'P67984', 'P62751', 'P63323', 'P35980', 'O09167', 'P62911', 'P47955', 'P47911', 'P62830', 'P51410', 'Q9CR57', 'P14869', 'Q9JJI8', 'P14148', 'Q9CPR4', 'Q99N96', 'P84099', 'Q9D8E6', 'P47962', 'P61358', 'Q6ZWV7', 'P62889', 'P47963', 'P62900', 'Q8BP67', 'P27659', 'P61514', 'Q9CZM2']"
tubular endosome,5,0.40573714597445104,0.017746042647475133,7.393949579831933,0.10230367361929717,"['Q9EQH3', 'Q9D8U8', 'P40336']"
endoplasmic reticulum tubular network membrane,5,0.40573714597445104,0.017746042647475133,7.393949579831933,0.10201468019099406,"['Q6PA06', 'Q99P72', 'Q91YH5']"
flotillin complex,10,0.8114742919489021,7.354411814318779E-4,7.393949579831933,0.006865242221164547,"['P26231', 'Q62417', 'P30999', 'O08917', 'Q02248', 'Q9WUM4']"
mitochondrial proton-transporting ATP synthase complex,20,1.6229485838978042,1.684526328911479E-6,7.393949579831933,3.0607241779775536e-05,"['Q06185', 'P97450', 'Q78IK2', 'P56135', 'Q9CQQ7', 'Q9D3D9', 'Q9CPQ8', 'Q03265', 'Q9DCX2', 'P56480', 'Q91VR2', 'Q9DB20']"
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",12,0.9737691503386825,2.9845452347591455E-4,7.188562091503268,0.003067449269058011,"['Q06185', 'P97450', 'P56135', 'Q9CQQ7', 'Q9CPQ8', 'Q9DCX2', 'Q9DB20']"
COPI vesicle coat,12,0.9737691503386825,2.9845452347591455E-4,7.188562091503268,0.003052034951123046,"['Q9QZE5', 'Q8CIE6', 'Q9QXK3', 'Q9JIF7', 'O55029', 'O89079', 'Q5XJY5']"
